name1,name2,distance,forced_redirection
Akwa Ibom,Zamfara,851.628,0
Akwa Ibom,Kwara,563.378,0
Akwa Ibom,Katsina,773.934,0
Akwa Ibom,Kano,812.239,0
Akwa Ibom,Cameroon,947.082,0
Edo,Akwa Ibom,306.928,0
Edo,Bayelsa,285.72,0
Edo,Yobe,773.01,0
Edo,Cross River,199.425,0
Edo,Kebbi,504.08,0
Edo,Gombe,584.542,0
Edo,Cameroon,875.314,0
Bayelsa,Edo,285.72,0
Bayelsa,Benue,471.422,0
Bayelsa,Zamfara,843.632,0
Bayelsa,Nassarawa,497.637,0
Bayelsa,Kebbi,772.29,0
Bayelsa,Gombe,794.117,0
Bayelsa,Niger,1208.098,0
Bayelsa,Taraba,630.293,0
Bayelsa,Kwara,498.286,0
Bayelsa,Katsina,778.847,0
Bayelsa,Ekiti,379.432,0
Bayelsa,Kogi,359.516,0
Bayelsa,Kano,842.387,0
Bayelsa,Federal Capital Territory,511.558,0
Yobe,Akwa Ibom,922.112,0
Yobe,Edo,773.01,0
Yobe,Borno,279.854,0
Yobe,Adamawa,263.511,0
Yobe,Benue,557.523,0
Yobe,Zamfara,579.034,0
Yobe,Delta,940.12,0
Yobe,Nassarawa,512.202,0
Yobe,Kebbi,735.084,0
Yobe,Gombe,223.202,0
Yobe,Niger,216.083,0
Yobe,Taraba,391.354,0
Yobe,Kwara,830.125,0
Yobe,Katsina,507.96,0
Yobe,Ekiti,848.074,0
Yobe,Kogi,697.867,0
Yobe,Kano,366.668,0
Yobe,Federal Capital Territory,585.446,0
Yobe,Cameroon,245.089,0
Yobe,Chad,327.645,0
Borno,Yobe,279.854,0
Borno,Adamawa,393.6,0
Borno,Benue,765.462,0
Borno,Zamfara,850.008,0
Borno,Nassarawa,760.269,0
Borno,Gombe,444.294,0
Borno,Niger,259.902,0
Borno,Taraba,603.595,0
Borno,Katsina,784.971,0
Borno,Kogi,956.151,0
Borno,Kano,641.543,0
Borno,Ebonyi,923.592,0
Borno,Federal Capital Territory,856.48,0
Borno,Cameroon,201.959,0
Borno,Chad,148.76,0
Adamawa,Bayelsa,850.192,0
Adamawa,Yobe,263.511,0
Adamawa,Borno,393.6,0
Adamawa,Benue,378.775,0
Adamawa,Lagos,969.79,0
Adamawa,Zamfara,694.577,0
Adamawa,Nassarawa,411.839,0
Adamawa,Kebbi,812.773,0
Adamawa,Gombe,135.248,0
Adamawa,Niger,467.833,0
Adamawa,Taraba,229.574,0
Adamawa,Kwara,813.899,0
Adamawa,Katsina,601.363,0
Adamawa,Ekiti,793.956,0
Adamawa,Kano,492.457,0
Adamawa,Oyo,955.689,0
Adamawa,Federal Capital Territory,552.231,0
Adamawa,Cameroon,208.092,0
Adamawa,Chad,512.183,0
Benue,Bayelsa,471.422,0
Benue,Yobe,557.523,0
Benue,Borno,765.462,0
Benue,Adamawa,378.775,0
Benue,Zamfara,639.059,0
Benue,Nassarawa,162.198,0
Benue,Kebbi,675.278,0
Benue,Gombe,335.992,0
Benue,Niger,770.855,0
Benue,Taraba,166.79,0
Benue,Kwara,548.631,0
Benue,Katsina,542.342,0
Benue,Ekiti,486.099,0
Benue,Kano,523.168,0
Benue,Federal Capital Territory,328.903,0
Benue,Cameroon,586.857,0
Benue,Chad,867.169,0
Lagos,Adamawa,969.79,0
Lagos,Niger,1218.854,0
Lagos,Ekiti,205.426,0
Lagos,Kano,777.4,0
Zamfara,Akwa Ibom,851.628,0
Zamfara,Bayelsa,843.632,0
Zamfara,Yobe,579.034,0
Zamfara,Borno,850.008,0
Zamfara,Adamawa,694.577,0
Zamfara,Benue,639.059,0
Zamfara,Nassarawa,479.036,0
Zamfara,Kebbi,176.222,0
Zamfara,Abia,784.267,0
Zamfara,Gombe,559.762,0
Zamfara,Niger,654.658,0
Zamfara,Taraba,578.613,0
Zamfara,Kwara,413.186,0
Zamfara,Katsina,99.85,0
Zamfara,Ekiti,504.093,0
Zamfara,Kano,213.951,0
Zamfara,Oyo,612.631,0
Zamfara,Federal Capital Territory,350.656,0
Zamfara,Cameroon,805.023,0
Zamfara,Chad,844.454,0
Delta,Kwara,394.928,0
Delta,Ekiti,276.107,0
Nassarawa,Akwa Ibom,437.879,0
Nassarawa,Bayelsa,497.637,0
Nassarawa,Yobe,512.202,0
Nassarawa,Borno,760.269,0
Nassarawa,Adamawa,411.839,0
