name1,name2,distance,foreced_redirection
Kaduna,Akwa Ibom,556.906,0
Kaduna,Edo,333.397,0
Kaduna,Bayelsa,597.941,0
Kaduna,Yobe,450.708,0
Kaduna,Borno,719.691,0
Kaduna,Adamawa,423.171,0
Kaduna,Benue,284.458,0
Kaduna,Plateau,14.929,0
Kaduna,Rivers,505.184,0
Kaduna,Lagos,595.919,0
Kaduna,Zamfara,355.8,0
Kaduna,Delta,515.652,0
Kaduna,Nassarawa,130.307,0
Kaduna,Cross River,405.616,0
Kaduna,Kebbi,416.796,0
Kaduna,Ogun,639.465,0
Kaduna,Abia,503.954,0
Kaduna,Gombe,300.139,0
Kaduna,Niger,225.167,0
Kaduna,Taraba,240.833,0
Kaduna,Kwara,395.581,0
Kaduna,Imo,464.07,0
Kaduna,Katsina,258.091,0
Kaduna,Ekiti,398.25,0
Kaduna,Kogi,254.821,0
Kaduna,Kano,256.523,0
Kaduna,Ebonyi,333.493,0
Kaduna,Oyo,558.829,0
Kaduna,Federal Capital Territory,137.139,0
Kaduna,Cameroon,597.041,0
Kaduna,Chad,777.108,0
Kaduna,Niger,629.4,0
Akwa Ibom,Kaduna,556.906,0
Akwa Ibom,Edo,306.928,0
Akwa Ibom,Bayelsa,149.968,0
Akwa Ibom,Yobe,922.112,0
Akwa Ibom,Borno,1131.537,0
Akwa Ibom,Adamawa,740.535,0
Akwa Ibom,Benue,367.805,0
Akwa Ibom,Plateau,561.888,0
Akwa Ibom,Rivers,150.823,0
Akwa Ibom,Lagos,455.359,0
Akwa Ibom,Zamfara,851.628,0
Akwa Ibom,Delta,199.269,0
Akwa Ibom,Nassarawa,437.879,0
Akwa Ibom,Cross River,151.526,0
Akwa Ibom,Kebbi,810.568,0
Akwa Ibom,Ogun,537.96,0
Akwa Ibom,Abia,75.872,0
Akwa Ibom,Gombe,702.788,0
Akwa Ibom,Niger,586.166,0
Akwa Ibom,Taraba,534.045,0
Akwa Ibom,Kwara,563.378,0
Akwa Ibom,Imo,139.203,0
Akwa Ibom,Katsina,773.934,0
Akwa Ibom,Ekiti,449.081,0
Akwa Ibom,Kogi,360.168,0
Akwa Ibom,Kano,812.239,0
Akwa Ibom,Ebonyi,228.815,0
Akwa Ibom,Oyo,522.505,0
Akwa Ibom,Federal Capital Territory,502.629,0
Akwa Ibom,Cameroon,947.082,0
Akwa Ibom,Chad,1234.942,0
Akwa Ibom,Niger,1132.474,0
Edo,Kaduna,333.397,0
Edo,Akwa Ibom,306.928,0
Edo,Bayelsa,285.72,0
Edo,Yobe,773.01,0
Edo,Borno,1027.353,0
Edo,Adamawa,673.908,0
Edo,Benue,332.038,0
Edo,Plateau,344.474,0
Edo,Rivers,194.969,0
Edo,Lagos,297.783,0
Edo,Zamfara,559.326,0
Edo,Delta,189.72,0
Edo,Nassarawa,267.554,0
Edo,Cross River,199.425,0
Edo,Kebbi,504.08,0
Edo,Ogun,364.123,0
Edo,Abia,233.216,0
Edo,Gombe,584.542,0
Edo,Niger,286.063,0
Edo,Taraba,444.751,0
Edo,Kwara,267.347,0
Edo,Imo,172.872,0
Edo,Katsina,493.165,0
Edo,Ekiti,169.008,0
Edo,Kogi,79.178,0
Edo,Kano,563.156,0
Edo,Ebonyi,199.657,0
Edo,Oyo,305.384,0
Edo,Federal Capital Territory,228.491,0
Edo,Cameroon,875.314,0
Edo,Chad,1100.548,0
Edo,Niger,961.436,0
Bayelsa,Kaduna,597.941,0
Bayelsa,Akwa Ibom,149.968,0
Bayelsa,Edo,285.72,0
Bayelsa,Yobe,1005.2,0
Bayelsa,Borno,1233.877,0
Bayelsa,Adamawa,850.192,0
Bayelsa,Benue,471.422,0
Bayelsa,Plateau,606.233,0
Bayelsa,Rivers,93.238,0
Bayelsa,Lagos,329.191,0
Bayelsa,Zamfara,843.632,0
Bayelsa,Delta,104.188,0
Bayelsa,Nassarawa,497.637,0
Bayelsa,Cross River,233.167,0
Bayelsa,Kebbi,772.29,0
Bayelsa,Ogun,410.133,0
Bayelsa,Abia,124.201,0
Bayelsa,Gombe,794.117,0
Bayelsa,Niger,568.835,0
Bayelsa,Taraba,630.293,0
Bayelsa,Kwara,498.286,0
Bayelsa,Imo,136.074,0
Bayelsa,Katsina,778.847,0
Bayelsa,Ekiti,379.432,0
Bayelsa,Kogi,359.516,0
Bayelsa,Kano,842.387,0
Bayelsa,Ebonyi,310.286,0
Bayelsa,Oyo,411.254,0
Bayelsa,Federal Capital Territory,511.558,0
Bayelsa,Cameroon,1058.278,0
Bayelsa,Chad,1326.851,0
Bayelsa,Niger,1208.098,0
Yobe,Kaduna,450.708,0
Yobe,Akwa Ibom,922.112,0
Yobe,Edo,773.01,0
Yobe,Bayelsa,1005.2,0
Yobe,Borno,279.854,0
Yobe,Adamawa,263.511,0
Yobe,Benue,557.523,0
Yobe,Plateau,437.051,0
Yobe,Rivers,917.952,0
Yobe,Lagos,1046.555,0
Yobe,Zamfara,579.034,0
Yobe,Delta,940.12,0
Yobe,Nassarawa,512.202,0
Yobe,Cross River,779.945,0
Yobe,Kebbi,735.084,0
Yobe,Ogun,1089.091,0
Yobe,Abia,891.647,0
Yobe,Gombe,223.202,0
Yobe,Niger,642.724,0
Yobe,Taraba,391.354,0
Yobe,Kwara,830.125,0
Yobe,Imo,869.787,0
Yobe,Katsina,507.96,0
Yobe,Ekiti,848.074,0
Yobe,Kogi,697.867,0
Yobe,Kano,366.668,0
Yobe,Ebonyi,699.551,0
Yobe,Oyo,1007.026,0
Yobe,Federal Capital Territory,585.446,0
Yobe,Cameroon,245.089,0
Yobe,Chad,327.645,0
Yobe,Niger,216.083,0
Borno,Kaduna,719.691,0
Borno,Akwa Ibom,1131.537,0
Borno,Edo,1027.353,0
Borno,Bayelsa,1233.877,0
Borno,Yobe,279.854,0
Borno,Adamawa,393.6,0
Borno,Benue,765.462,0
Borno,Plateau,705.326,0
Borno,Rivers,1152.413,0
Borno,Lagos,1311.45,0
Borno,Zamfara,850.008,0
Borno,Delta,1180.896,0
Borno,Nassarawa,760.269,0
Borno,Cross River,1001.718,0
Borno,Kebbi,1011.607,0
Borno,Ogun,1358.803,0
Borno,Abia,1113.814,0
Borno,Gombe,444.294,0
Borno,Niger,920.772,0
Borno,Taraba,603.595,0
Borno,Kwara,1106.891,0
Borno,Imo,1102.081,0
Borno,Katsina,784.971,0
Borno,Ekiti,1117.686,0
Borno,Kogi,956.151,0
Borno,Kano,641.543,0
Borno,Ebonyi,923.592,0
Borno,Oyo,1278.514,0
Borno,Federal Capital Territory,856.48,0
Borno,Cameroon,201.959,0
Borno,Chad,148.76,0
Borno,Niger,259.902,0
Adamawa,Kaduna,423.171,0
Adamawa,Akwa Ibom,740.535,0
Adamawa,Edo,673.908,0
